title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/SatvikNanda/python_projects/tree/main/project_todo_list;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://pythonportfolio-f7grz4aonfnmijt8edd8qw.streamlit.app/;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/SatvikNanda/python_projects/tree/main/project_pdf;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/SatvikNanda/python_projects/tree/main/project_invoicesPDF;4.png
Daily News email digest;A program that gets data from a news API and forwards daily news to a designated email.;https://github.com/SatvikNanda/python_projects/tree/main/project_newsAPI;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/SatvikNanda/python_projects/tree/main/project_weatherforecast;6.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/SatvikNanda/python_projects/tree/main/project_weatherforecast;16.png
NLP of E-books;A program that performs NLP on ebooks to analyse various linguistic features.;https://github.com/SatvikNanda/python_projects/tree/main/project_NLP_eBooks;22.png
Email Webcam Detection;A program that detects new movement and sends email attached with image.;https://github.com/SatvikNanda/python_projects/tree/main/project_Email_webcam;11.png
Student Database Management;The application demonstrates the integration of a relational database with an interactive GUI.;https://github.com/SatvikNanda/python_projects/tree/main/project_student_management;18.png
Hotel Management;The application that allows users to book hotels by validating their payment information and updating availability.;https://github.com/SatvikNanda/python_projects/tree/main/project_Hotel_booking;17.png